log10_frequency_Hz,log10_storage_modulus_MPa,log10_loss_modulus_MPa
-8.000000000000000000e+00,1.182515121173508765e+00,-2.962495916051003597e+00
-7.767676767676767291e+00,1.174286089920054899e+00,-2.716844492128924315e+00
-7.535353535353535470e+00,1.184448948551049208e+00,-2.483494150954135726e+00
-7.303030303030302761e+00,1.195494585957095790e+00,-2.257263218344081945e+00
-7.070707070707070940e+00,1.173029748066333422e+00,-2.016465867963794345e+00
-6.838383838383838231e+00,1.173029963768490225e+00,-1.776803509052589769e+00
-6.606060606060605522e+00,1.196194037815613953e+00,-1.525808260182990539e+00
-6.373737373737373701e+00,1.185976678311541077e+00,-1.315121096037825454e+00
-6.141414141414141881e+00,1.169931082420644586e+00,-1.081723789255633061e+00
-5.909090909090909172e+00,1.183103302319949313e+00,-8.537142695282313731e-01
-5.676767676767676463e+00,1.170011194419978917e+00,-6.461677437410004998e-01
-5.444444444444444642e+00,1.169980819774066649e+00,-3.884423591761220207e-01
-5.212121212121211933e+00,1.179233133425527491e+00,-1.549895235997296727e-01
-4.979797979797979224e+00,1.150421686455307402e+00,1.075124218360883621e-01
-4.747474747474747403e+00,1.153021822060341650e+00,3.063594162707553026e-01
-4.515151515151515582e+00,1.168722003301875922e+00,5.451072828286921412e-01
-4.282828282828282873e+00,1.162746547427065513e+00,7.730668491691631283e-01
-4.050505050505050164e+00,1.180329384852091934e+00,9.903426385713370861e-01
-3.818181818181818343e+00,1.164571705244087374e+00,1.252805549964219445e+00
-3.585858585858585634e+00,1.158672793233753717e+00,1.480175882014809430e+00
-3.353535353535353813e+00,1.198799446705301364e+00,1.712994807880571679e+00
-3.121212121212121104e+00,1.184756775203820833e+00,1.923112921313660406e+00
-2.888888888888889284e+00,1.210001620754137974e+00,2.185333026619777463e+00
-2.656565656565656575e+00,1.247142566013673459e+00,2.381039536441432958e+00
-2.424242424242423866e+00,1.391964519957886059e+00,2.639443433031066100e+00
-2.191919191919192045e+00,1.648010145741284571e+00,2.891365851696350742e+00
-1.959595959595959336e+00,1.985580709218504047e+00,3.081604000358690421e+00
-1.727272727272727515e+00,2.421698755826796834e+00,3.315694655413510716e+00
-1.494949494949494806e+00,2.845882259415244864e+00,3.545607725316962444e+00
-1.262626262626262985e+00,3.277655508702353782e+00,3.739091298227497973e+00
-1.030303030303030276e+00,3.656373993261321509e+00,3.878152410801808614e+00
-7.979797979797984553e-01,3.978709609256104951e+00,3.960908326371296528e+00
-5.656565656565657463e-01,4.127706537275819265e+00,3.891925376526015334e+00
-3.333333333333330373e-01,4.193671471389067484e+00,3.775025559852278612e+00
-1.010101010101012164e-01,4.249806886701088082e+00,3.597750052339785842e+00
1.313131313131314926e-01,4.235566251626047496e+00,3.511751301220224608e+00
3.636363636363633134e-01,4.262248844822894789e+00,3.458893543831782047e+00
5.959595959595951342e-01,4.245065861278651376e+00,3.544402372960427705e+00
8.282828282828287314e-01,4.279601672214544017e+00,3.687035697765858266e+00
1.060606060606060552e+00,4.347475614467064986e+00,3.759945594677395864e+00
1.292929292929292373e+00,4.411863681959860450e+00,3.785834528026051249e+00
1.525252525252525970e+00,4.446402010514978187e+00,3.699722880659102930e+00
1.757575757575757791e+00,4.463254520835297612e+00,3.495978366247054936e+00
1.989898989898989612e+00,4.469104504645846632e+00,3.340598027458574926e+00
2.222222222222221433e+00,4.456695933144668942e+00,3.198524555462386676e+00
2.454545454545455030e+00,4.469110317906796581e+00,3.147919595538575699e+00
2.686868686868686851e+00,4.476024676457910800e+00,3.164976707035042747e+00
2.919191919191918672e+00,4.503042759339116685e+00,3.256100391758966595e+00
3.151515151515152269e+00,4.506647796914640125e+00,3.335233819588912407e+00
3.383838383838384090e+00,4.492366797764927533e+00,3.289094748355660069e+00
3.616161616161615910e+00,4.529228554612470425e+00,3.152262003723547146e+00
3.848484848484847731e+00,4.524163038246300061e+00,2.969013664914099238e+00
4.080808080808081328e+00,4.521940961279315552e+00,2.766117932016330272e+00
4.313131313131313149e+00,4.539431233097722007e+00,2.625042889719205519e+00
4.545454545454544970e+00,4.545268802616515558e+00,2.553737811236965527e+00
4.777777777777776791e+00,4.544868947989817443e+00,2.562587311809780388e+00
5.010101010101010388e+00,4.523562394016640731e+00,2.655131257011451584e+00
5.242424242424242209e+00,4.533166421645526079e+00,2.645411361500765057e+00
5.474747474747474030e+00,4.543843424102878004e+00,2.533440045096328141e+00
5.707070707070707627e+00,4.553405300029026215e+00,2.389752445824654181e+00
5.939393939393939448e+00,4.535154384950004669e+00,2.160854070009435635e+00
6.171717171717171269e+00,4.539227313515505458e+00,1.960431161457972582e+00
6.404040404040403089e+00,4.527068319238405358e+00,1.735902852679309660e+00
6.636363636363636687e+00,4.525881220315087106e+00,1.478980767797952733e+00
6.868686868686868507e+00,4.552221070863744501e+00,1.270224046660997530e+00
7.101010101010100328e+00,4.559085024734184977e+00,1.030997917011889253e+00
7.333333333333333925e+00,4.540826631841535566e+00,8.039533643334276780e-01
7.565656565656565746e+00,4.554648123878210164e+00,5.850998460001591850e-01
7.797979797979797567e+00,4.546452655877918581e+00,3.255372909124327196e-01
8.030303030303031164e+00,4.533278819131805193e+00,8.649171325491987472e-02
8.262626262626262985e+00,4.546449613674737655e+00,-1.476446628874749922e-01
8.494949494949494806e+00,4.561356660338891977e+00,-3.789822019748906867e-01
8.727272727272726627e+00,4.541299376072263527e+00,-6.015497844004132899e-01
8.959595959595958448e+00,4.561687905873918147e+00,-8.284450623395055446e-01
9.191919191919190268e+00,4.506218211602938339e+00,-1.061600428629434267e+00
9.424242424242425642e+00,4.552344942626647573e+00,-1.286868052857143452e+00
